AID	Sample_ID	chr1p36	MeanL1methy	MeanL1HSmethy	cancerType
TCGA-DK-A3IS-01A	TCGA.DK.A3IS.01A	WT	0.537830469308315	0.705610780895382	TCGA-BLCA
TCGA-DK-A3IT-01A	TCGA.DK.A3IT.01A	WT	0.6681853273622	0.810036930408398	TCGA-BLCA
TCGA-DK-A3IU-01A	TCGA.DK.A3IU.01A	WT	0.700397744496694	0.794165795588772	TCGA-BLCA
TCGA-DK-A3IV-01A	TCGA.DK.A3IV.01A	WT	0.692609688023444	0.836987764171246	TCGA-BLCA
TCGA-DK-A3WW-01A	TCGA.DK.A3WW.01A	WT	0.680449300821672	0.76456724426257	TCGA-BLCA
TCGA-DK-A3WX-01A	TCGA.DK.A3WX.01A	WT	0.712552809859836	0.799066872734294	TCGA-BLCA
TCGA-DK-A3WY-01A	TCGA.DK.A3WY.01A	WT	0.796542585262357	0.872093650781507	TCGA-BLCA
TCGA-DK-A3X1-01A	TCGA.DK.A3X1.01A	WT	0.63013825452832	0.759001751579553	TCGA-BLCA
TCGA-DK-A3X2-01A	TCGA.DK.A3X2.01A	WT	0.603787275464235	0.736841051993529	TCGA-BLCA
TCGA-DK-A6AV-01A	TCGA.DK.A6AV.01A	WT	0.685837387059809	0.748280535444092	TCGA-BLCA
TCGA-DK-A6AW-01A	TCGA.DK.A6AW.01A	WT	0.635538655074038	0.826173328345875	TCGA-BLCA
TCGA-DK-A6B0-01A	TCGA.DK.A6B0.01A	WT	0.745543882972068	0.821864842703865	TCGA-BLCA
TCGA-DK-A6B1-01A	TCGA.DK.A6B1.01A	WT	0.683045789621178	0.829289465206849	TCGA-BLCA
TCGA-DK-A6B2-01A	TCGA.DK.A6B2.01A	WT	0.641938667798287	0.754076838460522	TCGA-BLCA
TCGA-DK-A6B5-01A	TCGA.DK.A6B5.01A	WT	0.583442154776037	0.746080414075901	TCGA-BLCA
TCGA-DK-A6B6-01A	TCGA.DK.A6B6.01A	WT	0.722831008974696	0.822160981990988	TCGA-BLCA
TCGA-DK-AA6L-01A	TCGA.DK.AA6L.01A	WT	0.62869690337377	0.768603898306496	TCGA-BLCA
TCGA-DK-AA6M-01A	TCGA.DK.AA6M.01A	WT	0.709595941362092	0.810551835367256	TCGA-BLCA
TCGA-DK-AA6P-01A	TCGA.DK.AA6P.01A	WT	0.693658979965036	0.71625141371927	TCGA-BLCA
TCGA-DK-AA6Q-01A	TCGA.DK.AA6Q.01A	Loss	0.680895907760755	0.76474013734596	TCGA-BLCA
TCGA-DK-AA6R-01A	TCGA.DK.AA6R.01A	WT	0.674444800336122	0.750452935375135	TCGA-BLCA
