Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
TGFBR2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"MFS2, TBR-ii, TBRII"
TMPRSS2	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	PRSS10
TNFRSF14	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"ATAR, CD270, HVEA, HVEM, LIGHTR"
TSC2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	"LAM, PPP1R160, TSC4, tuberin"
TSHR	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	LGR3
XPO1	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	"CRM-1, CRM1, emb"
AKT3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"PKBG, PRKBG, RAC-gamma"
ARAF	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	ARAF1
ARID1B	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R"
AURKA	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"AIK, ARK1, AurA, BTAK, PPP1R47, STK15, STK6"
AURKB	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"ARK2, Aik2, AurB, IPL1, PPP1R48, STK12, STK5"
AXL	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"JTK11, Tyro7, UFO"
BCL10	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"CIPER, CLAP, c-E10, mE10"
BCORL1	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	"CXorf10, FLJ11362"
BCR	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	"ALL, BCR1, CML, D22S11, D22S662, PHL"
BIRC3	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes	"API2, MALT2, MIHC, RNF49, c-IAP2, cIAP2, hiap-1"
BLM	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"BS, RECQ2, RECQL3"
BTG1	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	APRO2
CDK8	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	K35
CDKN2B	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"CDK4I, INK4B, MTS2, P15, TP15, p15INK4b"
CHEK1	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	CHK1
CRKL	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	
CYLD	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	"CYLD1, KIAA0849, USPL2"
DOT1L	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"DOT1, KIAA1814, KMT4"
EED	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"HEED, WAIT-1"
EIF4A2	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	"BM-010, DDX2B"
EPHA3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"ETK, ETK1, HEK, HEK4, TYRO4"
EPHB1	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"EPHT2, Hek6"
ERCC4	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"FANCQ, XPF"
ETV1	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	ER81
FAS	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	"APO-1, APT1, CD95, FAS1, TNFRSF6"
FGF19	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	
FGF3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"HBGF-3, INT2"
FGF4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"HBGF-4, HST, HST-1, HSTF1, K-FGF, KFGF"
FH	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	
FLT1	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"FLT, VEGFR1"
