Gene	occurrence	OncoKB	Oncogene	TSG
NTHL1	4913	3	Yes	No	Yes
NTRK1	4914	6	Yes	Yes	No
NTRK2	4915	5	Yes	Yes	No
NTRK3	4916	6	Yes	Yes	No
NUF2	83540	3	Yes	Yes	No
NUP214	8021	3	Yes	Yes	No
NUP93	9688	4	Yes	No	No
NUP98	4928	3	Yes	Yes	No
NUTM1	256646	3	Yes	No	No
P2RY8	286530	5	Yes	No	Yes
PAK1	5058	3	Yes	Yes	No
PAK5	57144	3	Yes	Yes	No
PALB2	79728	6	Yes	No	Yes
PARP1	142	4	Yes	No	Yes
PAX5	5079	7	Yes	No	Yes
PAX8	7849	2	Yes	Yes	No
PBRM1	55193	7	Yes	No	Yes
PCBP1	5093	3	Yes	No	No
PDCD1	5133	5	Yes	Yes	No
PDCD1LG2	80380	6	Yes	Yes	No
PDGFB	5155	3	Yes	Yes	No
PDGFRA	5156	7	Yes	Yes	No
PDGFRB	5159	6	Yes	Yes	No
PDPK1	5170	3	Yes	No	No
PDS5B	23047	2	Yes	No	Yes
PGBD5	79605	2	Yes	Yes	No
PGR	5241	3	Yes	Yes	No
PHF6	84295	6	Yes	No	Yes
PHOX2B	8929	4	Yes	No	Yes
PIGA	5277	2	Yes	No	Yes
PIK3C2G	5288	4	Yes	No	No
PIK3C3	5289	3	Yes	No	No
PIK3CA	5290	7	Yes	Yes	No
PIK3CB	5291	5	Yes	Yes	No
PIK3CD	5293	3	Yes	Yes	No
PIK3CG	5294	4	Yes	Yes	No
PIK3R1	5295	7	Yes	No	Yes
PIK3R2	5296	4	Yes	No	Yes
PIK3R3	8503	3	Yes	No	Yes
PIM1	5292	6	Yes	No	No
PLCG1	5335	3	Yes	Yes	No
PLCG2	5336	4	Yes	Yes	No
PLK2	10769	3	Yes	No	No
PMAIP1	5366	3	Yes	No	Yes
PMS1	5378	3	Yes	No	Yes
PMS2	5395	5	Yes	No	Yes
PNRC1	10957	3	Yes	No	No
POLD1	5424	5	Yes	No	Yes
POLE	5426	5	Yes	No	Yes
POLG	5428	1	Yes	No	No
POT1	25913	5	Yes	No	Yes
PPARG	5468	5	Yes	Yes	No
PPM1D	8493	4	Yes	Yes	No
PPP2R1A	5518	7	Yes	No	Yes
PPP2R2A	5520	2	Yes	No	Yes
PPP4R2	151987	3	Yes	No	No
PPP6C	5537	4	Yes	No	Yes
